inject newline, token type, column, length, enclosing rule, earliest ancestor rule, earliest ancestor length, prev token type, prev token column, prev token last char index
0, 32, 0, 7, 1, 0, 19726, 0, -1, 0
0, 100, 8, 3, 50, 50, 21, 32, 0, 6
0, 65, 11, 1, 50, -1, 0, 100, 8, 10
0, 100, 12, 14, 50, -1, 0, 65, 11, 11
0, 65, 26, 1, 50, -1, 0, 100, 12, 25
0, 100, 27, 2, 50, -1, 0, 65, 26, 26
0, 63, 29, 1, 1, -1, 0, 100, 27, 28
1, 25, 0, 6, 2, 2, 49, 63, 29, 29
0, 100, 7, 3, 50, 50, 41, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 8, 50, -1, 0, 65, 28, 28
0, 65, 37, 1, 50, -1, 0, 100, 29, 36
0, 100, 38, 10, 50, -1, 0, 65, 37, 37
0, 63, 48, 1, 2, -1, 0, 100, 38, 47
1, 25, 0, 6, 2, 2, 53, 63, 48, 48
0, 100, 7, 3, 50, 50, 45, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 8, 50, -1, 0, 65, 28, 28
0, 65, 37, 1, 50, -1, 0, 100, 29, 36
0, 100, 38, 14, 50, -1, 0, 65, 37, 37
0, 63, 52, 1, 2, -1, 0, 100, 38, 51
1, 25, 0, 6, 2, 2, 53, 63, 52, 52
0, 100, 7, 3, 50, 50, 45, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
